        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Power [W] , GPU Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] ,
2014-01-24 11:49:09 ,              350.0   ,                800.0   ,               63.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:10 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:11 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:12 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:13 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:14 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:15 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:16 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:18 ,              350.0   ,                800.0   ,               63.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:19 ,              350.0   ,                800.0   ,               63.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:20 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:21 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:22 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:23 ,              350.0   ,                800.0   ,               62.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:24 ,              350.0   ,                800.0   ,               62.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:25 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:26 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:27 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:28 ,              350.0   ,                800.0   ,               57.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:29 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:30 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:31 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:32 ,              350.0   ,                800.0   ,               62.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:33 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:34 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:35 ,              350.0   ,                800.0   ,               57.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:36 ,              350.0   ,                800.0   ,               62.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:37 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:38 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       438   ,
2014-01-24 11:49:39 ,              350.0   ,                800.0   ,               54.0   ,         0.1   ,          1   ,                          16   ,                       280   ,
2014-01-24 11:49:40 ,              350.0   ,                800.0   ,               55.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:41 ,              350.0   ,                800.0   ,               58.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:42 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:43 ,              350.0   ,                800.0   ,               49.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:44 ,              350.0   ,                800.0   ,               49.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:45 ,              350.0   ,                800.0   ,               47.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:46 ,              350.0   ,                800.0   ,               47.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:47 ,              350.0   ,                800.0   ,               47.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:48 ,              350.0   ,                800.0   ,               47.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:49 ,              350.0   ,                800.0   ,               53.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:50 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:51 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:52 ,              350.0   ,                800.0   ,               50.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:53 ,              350.0   ,                800.0   ,               45.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:54 ,              350.0   ,                800.0   ,               50.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:55 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:56 ,              350.0   ,                800.0   ,               50.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:57 ,              350.0   ,                800.0   ,               46.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:58 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:49:59 ,              350.0   ,                800.0   ,               52.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:00 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:01 ,              350.0   ,                800.0   ,               46.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:02 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:03 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:04 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:05 ,              350.0   ,                800.0   ,               50.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:06 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:07 ,              350.0   ,                800.0   ,               47.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:08 ,              350.0   ,                800.0   ,               48.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:09 ,              350.0   ,                800.0   ,               46.0   ,         0.0   ,          0   ,                          16   ,                       280   ,
2014-01-24 11:50:10 ,              350.0   ,                800.0   ,               49.0   ,         0.0   ,          1   ,                          16   ,                       280   ,
2014-01-24 11:50:11 ,              350.0   ,                800.0   ,               47.0   ,         0.8   ,          9   ,                          16   ,                       295   ,
2014-01-24 11:50:12 ,              350.0   ,                800.0   ,               48.0   ,         0.7   ,          8   ,                          16   ,                       295   ,
2014-01-24 11:50:13 ,              350.0   ,                800.0   ,               46.0   ,         0.1   ,          3   ,                          16   ,                       279   ,
