        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Power [W] , GPU Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] ,
2014-01-24 11:52:50 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:51 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:52 ,             1250.0   ,                800.0   ,               60.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:53 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:55 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:56 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:52:57 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:58 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:59 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       285   ,
2014-01-24 11:53:00 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:01 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:02 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:03 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:04 ,             1250.0   ,                800.0   ,               60.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:05 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:06 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:07 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:08 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:09 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:10 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:11 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:12 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:13 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:53:14 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:15 ,             1250.0   ,                800.0   ,               60.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:16 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:17 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:18 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:19 ,             1250.0   ,                800.0   ,               60.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:20 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:21 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:22 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:23 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:24 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:25 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:26 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:27 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:28 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:29 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:30 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:31 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       285   ,
2014-01-24 11:53:32 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:33 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:34 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:35 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:36 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:37 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:38 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:39 ,             1250.0   ,                800.0   ,               62.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:40 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:41 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:42 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:43 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:44 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:45 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:46 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:47 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:48 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:49 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:53:50 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:51 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:52 ,             1250.0   ,                800.0   ,               62.0   ,        14.1   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:53 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:54 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:55 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:56 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:57 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:53:58 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:53:59 ,             1250.0   ,                800.0   ,               62.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:00 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:01 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:02 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:03 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:04 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:05 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:06 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:08 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:09 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:54:10 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:11 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:54:12 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:13 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:14 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:15 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:16 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       285   ,
2014-01-24 11:54:17 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       285   ,
2014-01-24 11:54:18 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:19 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:20 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:21 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:22 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:23 ,             1250.0   ,                800.0   ,               62.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:24 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:25 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:54:26 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:27 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:28 ,             1250.0   ,                800.0   ,               62.0   ,        14.1   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:29 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:30 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:54:31 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:32 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       285   ,
2014-01-24 11:54:33 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:34 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:35 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:36 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:54:37 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:54:38 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       290   ,
